classe_id,classe_nome,scuola_nome,laboratorio_id,laboratorio_nome,incontro_num,formatrice_id,formatrice_nome,settimana,giorno_num,giorno_nome,fascia_num,fascia_nome,slot,data_ora,accorpata_con
72,5C,Liceo Scientifico e Linguistico M.Curie,4,citizen science,3,1,Anita,3,5,Sabato,3,Pomeriggio,243,21/02/2026 14:00-16:00,3D
23,4GL,IIS PeanoRosa,8,presentazione manuali,1,1,Anita,4,0,Lunedì,1,Mattino1,241,23/02/2026 09:00-11:00,3GL
31,4CU,Liceo Pascal,4,citizen science,5,3,Ida,4,0,Lunedì,1,Mattino1,241,23/02/2026 09:00-11:00,5BS
56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,4,2,Andreea,4,0,Lunedì,1,Mattino1,241,23/02/2026 09:00-11:00,4C
2,3C,IIS. E. Mattei,4,citizen science,1,2,Andreea,4,0,Lunedì,2,Mattino2,242,23/02/2026 11:00-13:00,4C
4,4C,IIS. E. Mattei,4,citizen science,1,2,Andreea,4,0,Lunedì,2,Mattino2,242,23/02/2026 11:00-13:00,3C
28,4BS,Liceo Pascal,4,citizen science,1,1,Anita,4,0,Lunedì,2,Mattino2,242,23/02/2026 11:00-13:00,5AS
34,5AS,Liceo Pascal,4,citizen science,4,3,Ida,4,0,Lunedì,2,Mattino2,242,23/02/2026 11:00-13:00,4BS
55,4F,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1,4,Margherita,4,0,Lunedì,2,Mattino2,242,23/02/2026 11:00-13:00,5D
59,5D,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1,4,Margherita,4,0,Lunedì,2,Mattino2,242,23/02/2026 11:00-13:00,4F
70,3D,Liceo Scientifico e Linguistico M.Curie,4,citizen science,4,3,Ida,4,0,Lunedì,3,Pomeriggio,243,23/02/2026 14:00-16:00,5C
72,5C,Liceo Scientifico e Linguistico M.Curie,4,citizen science,4,3,Ida,4,0,Lunedì,3,Pomeriggio,243,23/02/2026 14:00-16:00,3D
8,5DNO,Lic. Scientifico Bafile,4,citizen science,3,1,Anita,4,1,Martedì,1,Mattino1,253,24/02/2026 09:00-11:00,
45,4ASA,Liceo Scientifico G. Galilei,4,citizen science,1,4,Margherita,4,1,Martedì,1,Mattino1,253,24/02/2026 09:00-11:00,4B
46,4B,Liceo Scientifico G. Galilei,4,citizen science,1,4,Margherita,4,1,Martedì,1,Mattino1,253,24/02/2026 09:00-11:00,4ASA
21,3GL,IIS PeanoRosa,4,citizen science,1,4,Margherita,4,2,Mercoledì,1,Mattino1,265,25/02/2026 09:00-11:00,5AL
24,5AL,IIS PeanoRosa,4,citizen science,1,4,Margherita,4,2,Mercoledì,1,Mattino1,265,25/02/2026 09:00-11:00,3GL
73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,4,2,Andreea,4,2,Mercoledì,1,Mattino1,265,25/02/2026 09:00-11:00,5D
78,5AM,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,1,1,Anita,4,2,Mercoledì,1,Mattino1,265,25/02/2026 09:00-11:00,
80,5D,Liceo Scientifico P. P. Pasolini,4,citizen science,4,2,Andreea,4,2,Mercoledì,1,Mattino1,265,25/02/2026 09:00-11:00,3A
1,3A,IIS. E. Mattei,4,citizen science,2,1,Anita,4,2,Mercoledì,2,Mattino2,266,25/02/2026 11:00-13:00,4B
3,4B,IIS. E. Mattei,4,citizen science,2,1,Anita,4,2,Mercoledì,2,Mattino2,266,25/02/2026 11:00-13:00,3A
53,4C,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1,2,Andreea,4,2,Mercoledì,2,Mattino2,266,25/02/2026 11:00-13:00,4O
58,4O,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1,2,Andreea,4,2,Mercoledì,2,Mattino2,266,25/02/2026 11:00-13:00,4C
36,3F,Liceo Scientifico Einstein,4,citizen science,2,3,Ida,4,5,Sabato,1,Mattino1,301,28/02/2026 09:00-11:00,3G
79,5C,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2,2,Andreea,4,5,Sabato,1,Mattino1,301,28/02/2026 09:00-11:00,5D
25,3AS,Liceo Pascal,5,orientamento e competenze,1,4,Margherita,4,5,Sabato,2,Mattino2,302,28/02/2026 11:00-13:00,3ESA
