settimana,classe_id,classe,scuola,lab_id,laboratorio,num_incontri_lab
6,52,3O,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
11,52,3O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
12,52,3O,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
14,52,3O,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
15,52,3O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
1,53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
4,53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
5,53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
6,53,4C,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
7,53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
8,53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
1,54,4D,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
3,54,4D,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
4,54,4D,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
7,54,4D,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
12,54,4D,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
14,54,4D,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
1,55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
4,55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
6,55,4F,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
9,55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
10,55,4F,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
11,55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
12,55,4F,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
14,55,4F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
1,56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
3,56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
4,56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
8,56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
9,56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
10,56,4G,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
1,57,4H,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
3,57,4H,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
8,57,4H,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
13,57,4H,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
14,57,4H,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
15,57,4H,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
5,58,4O,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
6,58,4O,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
10,58,4O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
11,58,4O,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
12,58,4O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
1,59,5D,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
6,59,5D,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
7,59,5D,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
3,60,5F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
8,60,5F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
9,60,5F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
10,60,5F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
11,60,5F,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
13,60,5F,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
15,60,5F,Liceo Scientifico Leonardo da Vinci,9,sensibilizzazione discriminazioni di genere pt.2,1
4,61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
5,61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
7,61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
8,61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
10,61,5G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5
11,61,5G,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
4,62,5H,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
6,62,5H,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
13,62,5H,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
14,62,5H,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
15,62,5H,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
2,63,5I,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
5,63,5I,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
9,63,5I,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
11,63,5I,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
12,63,5I,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
1,64,5O,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
2,64,5O,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
6,64,5O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
8,64,5O,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
